code,label,area,IP,read group,write group,value,status,command,device
CI-0.3CLED,Luz Led,Sala multiple,192.168.8.254,0/0/1',4/2/2',nan',0,on/off,1.1.1
CI-0.3B,Recibidor,Sala multiple,192.168.8.254,0/0/3',4/2/1',nan',0,on/off,1.1.1
CI-0.2A,B. Hombres,Sala multiple,192.168.8.254,0/0/8',3/0/2',nan',0,on/off,1.1.1
CI-0.1A,C. Control,Sala multiple,192.168.8.254,0/0/9',4/2/0',nan',0,on/off,1.1.1
CI-0.1B,B. Mujeres,Sala multiple,192.168.8.254,0/0/10',3/0/1',nan',0,on/off,1.1.1
CI-0.1A,Sala de Control,Sala multiple,192.168.8.254,0/2/0',3/0/0',nan',0,on/off,1.1.5
CI-0.1A,Sala de Servidor,Sala multiple,192.168.8.254,0/2/1',4/0/0',nan',0,on/off,1.1.5
CI-0.1B,Pasillo Control,Sala multiple,192.168.8.254,0/2/2',4/0/1',nan',0,on/off,1.1.5
CI-0.3C,Recibidor,Sala multiple,192.168.8.254,0/2/4',4/2/1',nan',0,on/off,1.1.5
CI-0.3E,Puertas de Ingreso,Sala multiple,192.168.8.254,0/2/5',4/2/2',nan',0,on/off,1.1.5
CI-0.10B,Entrada Garaje Interno,Sala multiple,192.168.8.254,2/0/0',4/3/0',nan',0,on/off,1.1.25
CI-0.10A,Entrada Garaje externo,Sala multiple,192.168.8.254,2/0/1',4/3/0',nan',0,on/off,1.1.25
CI-0.10C,Portería Garaje,Sala multiple,192.168.8.254,2/0/2',4/3/1',nan',0,on/off,1.1.25
CI-0.10D,Lamparas Parqueo Norte,Sala multiple,192.168.8.254,2/0/3',4/3/2',nan',0,on/off,1.1.25
CI-0.10E,Lamparas Pareo Sur,Sala multiple,192.168.8.254,2/0/4',4/3/3',nan',0,on/off,1.1.25
ILUM. EXT.,Iluminación Exterior,Sala multiple,192.168.8.254,2/0/6',7/0/0',nan',0,on/off,1.1.25
PUERTA GAR.,?Puerta Garaje a verificar,Sala multiple,192.168.8.254,2/0/7',nan',nan',0,on/off,1.1.25
PISO EXT.,4/001,Sala multiple,192.168.8.254,2/0/8',7/0/0',nan',0,on/off,1.1.25
REFLECTORES,Iluminación Exterior,Sala multiple,192.168.8.254,2/0/9',7/0/0',nan',0,on/off,1.1.25
CIE-0.6A,Exterior convenciones,Sala multiple,192.168.8.254,1/0/0',4/4/4',nan',0,on/off,1.1.28
CIE-0.6B,Exterior convenciones,Sala multiple,192.168.8.254,1/0/1',4/4/4',nan',0,on/off,1.1.28
CIE-0.6K,Exterior convenciones,Sala multiple,192.168.8.254,1/0/2',4/4/4',nan',0,on/off,1.1.28
CIE-0.6E,Exterior convenciones,Sala multiple,192.168.8.254,1/0/3',4/4/4',nan',0,on/off,1.1.28
CIE-0.6L,Exterior convenciones,Sala multiple,192.168.8.254,1/0/4',4/4/4',nan',0,on/off,1.1.28
CIE-0.6H,Exterior convenciones,Sala multiple,192.168.8.254,1/0/5',4/4/4',nan',0,on/off,1.1.28
CIE-0.6I,Exterior convenciones,Sala multiple,192.168.8.254,1/0/6',4/4/4',nan',0,on/off,1.1.28
