id,name,literal,area,IP,read group,write group,value,command,device,object,comment,other groups
0,-,-,Sala multiple,192.168.8.254,0/0/1,4/2/2,,on/off,1.1.1,Obj#10,output12channel,4/6/0
1,-,-,Sala multiple,192.168.8.254,0/0/2,,,on/off,1.1.1,Obj#30,output12channel,
2,-,-,Sala multiple,192.168.8.254,0/0/3,4/2/1,,on/off,1.1.1,Obj#50,output12channel,4/6/0
3,-,-,Sala multiple,192.168.8.254,0/0/4,,,on/off,1.1.1,Obj#70,output12channel,
4,-,-,Sala multiple,192.168.8.254,0/0/5,,,on/off,1.1.1,Obj#90,output12channel,
5,-,-,Sala multiple,192.168.8.254,0/0/6,,,on/off,1.1.1,Obj#110,output12channel,
6,-,-,Sala multiple,192.168.8.254,0/0/7,,,on/off,1.1.1,Obj#130,output12channel,
7,-,-,Sala multiple,192.168.8.254,0/0/8,3/0/2,,on/off,1.1.1,Obj#150,output12channel,4/2/5 4/6/1
8,-,-,Sala multiple,192.168.8.254,0/0/9,4/2/0,,on/off,1.1.1,Obj#170,output12channel,23/7/1
9,-,-,Sala multiple,192.168.8.254,0/0/10,3/0/1,,on/off,1.1.1,Obj#190,output12channel,4/2/4 4/6/1
10,-,-,Sala multiple,192.168.8.254,0/0/11,,,on/off,1.1.1,Obj#210,output12channel,
11,-,-,Sala multiple,192.168.8.254,0/0/12,,,on/off,1.1.1,Obj#230,output12channel,
12,-,-,Sala multiple,192.168.8.254,0/1/0,,,on/off,1.1.2,Obj#10,output12channel,
13,-,-,Sala multiple,192.168.8.254,0/1/1,,,on/off,1.1.2,Obj#30,output12channel,
14,-,-,Sala multiple,192.168.8.254,0/1/2,,,on/off,1.1.2,Obj#50,output12channel,
15,-,-,Sala multiple,192.168.8.254,0/1/3,,,on/off,1.1.2,Obj#70,output12channel,
16,-,-,Sala multiple,192.168.8.254,0/1/4,,,on/off,1.1.2,Obj#90,output12channel,
17,-,-,Sala multiple,192.168.8.254,0/1/5,,,on/off,1.1.2,Obj#110,output12channel,
18,-,-,Sala multiple,192.168.8.254,0/1/6,,,on/off,1.1.2,Obj#130,output12channel,
19,-,-,Sala multiple,192.168.8.254,0/1/7,,,on/off,1.1.2,Obj#150,output12channel,
20,-,-,Sala multiple,192.168.8.254,0/1/8,,,on/off,1.1.2,Obj#170,output12channel,
21,-,-,Sala multiple,192.168.8.254,0/1/9,,,on/off,1.1.2,Obj#190,output12channel,
22,-,-,Sala multiple,192.168.8.254,0/1/10,,,on/off,1.1.2,Obj#210,output12channel,
23,-,-,Sala multiple,192.168.8.254,0/1/11,,,on/off,1.1.2,Obj#230,output12channel,
32,-,-,Sala multiple,192.168.8.254,0/2/0,3/0/0,,on/off,1.1.5,Obj#10,output8channel,23/7/1
33,-,-,Sala multiple,192.168.8.254,0/2/1,4/0/0,,on/off,1.1.5,Obj#30,output8channel,23/7/1
34,-,-,Sala multiple,192.168.8.254,0/2/2,4/1/0,,on/off,1.1.5,Obj#50,output8channel,23/7/1
35,-,-,Sala multiple,192.168.8.254,0/2/3,,,on/off,1.1.5,Obj#70,output8channel,
36,-,-,Sala multiple,192.168.8.254,0/2/4,4/2/1,,on/off,1.1.5,Obj#90,output8channel,4/6/0 23/7/1
37,-,-,Sala multiple,192.168.8.254,0/2/5,4/2/2,,on/off,1.1.5,Obj#110,output8channel,23/7/1
38,-,-,Sala multiple,192.168.8.254,0/2/6,,,on/off,1.1.5,Obj#130,output8channel,
39,-,-,Sala multiple,192.168.8.254,0/2/7,,,on/off,1.1.5,Obj#150,output8channel,
40,-,-,Sala multiple,192.168.8.254,0/2/0,1/0/1,,on/off,1.1.6,Obj#10,output8channel,5/0/0 23/7/1
41,-,-,Sala multiple,192.168.8.254,0/2/1,1/0/1,,on/off,1.1.6,Obj#30,output8channel,5/0/0 23/7/1
42,-,-,Sala multiple,192.168.8.254,0/2/2,,,on/off,1.1.6,Obj#50,output8channel,
43,-,-,Sala multiple,192.168.8.254,0/2/3,23/7/0,,on/off,1.1.6,Obj#70,output8channel,
44,-,-,Sala multiple,192.168.8.254,0/4/1,,,on/off,1.1.7,Obj#10,output16channel,
45,-,-,Sala multiple,192.168.8.254,0/4/2,3/2/0,,on/off,1.1.7,Obj#20,output16channel,
46,-,-,Sala multiple,192.168.8.254,0/4/3,,,on/off,1.1.7,Obj#30,output16channel,
47,-,-,Sala multiple,192.168.8.254,0/4/4,,,on/off,1.1.7,Obj#40,output16channel,
48,-,-,Sala multiple,192.168.8.254,0/4/5,,,on/off,1.1.7,Obj#50,output16channel,
