id,name,literal,area,IP,read group,write group,value,command,device,comment,other groups
24,-,-,Sala multiple,192.168.8.254,2/1/0,23/7/3,,on/off,1.1.3,03,
25,-,-,Sala multiple,192.168.8.254,2/1/1,23/7/3,,on/off,1.1.3,03,
26,-,-,Sala multiple,192.168.8.254,2/1/2,23/7/3,,on/off,1.1.3,03,
27,-,-,Sala multiple,192.168.8.254,2/1/3,23/7/3,,on/off,1.1.3,03,
28,-,-,Sala multiple,192.168.8.254,3/1/0,,,on/off,1.1.4,04,
29,-,-,Sala multiple,192.168.8.254,3/1/1,,,on/off,1.1.4,04,
30,-,-,Sala multiple,192.168.8.254,3/1/2,,,on/off,1.1.4,04,
31,-,-,Sala multiple,192.168.8.254,3/1/3,,,on/off,1.1.4,04,
60,-,-,Sala multiple,192.168.8.254,23/7/2,,,on/off,1.1.9,input4channel,
61,-,-,Sala multiple,192.168.8.254,23/7/1,,,on/off,1.1.9,input4channel,
62,-,-,Sala multiple,192.168.8.254,23/7/2,,,on/off,1.1.9,input4channel,
63,-,-,Sala multiple,192.168.8.254,23/7/3,,,on/off,1.1.9,input4channel,
64,-,-,Sala multiple,192.168.8.254,3/0/0,,,on/off,1.1.12,interruptorSalaControl,
65,-,-,Sala multiple,192.168.8.254,4/0/0,,,on/off,1.1.13,interruptorSalaServidor,
66,-,-,Sala multiple,192.168.8.254,4/0/1,,,on/off,1.1.13,interruptorSalaServidor,
67,-,-,Sala multiple,192.168.8.254,4/1/0,,,on/off,1.1.14,interruptorPasillo,
68,-,-,Sala multiple,192.168.8.254,4/1/1,,,on/off,1.1.14,interruptorPasillo,
69,-,-,Sala multiple,192.168.8.254,3/0/1,,,on/off,1.1.15,15,
70,-,-,Sala multiple,192.168.8.254,3/0/1,,,on/off,1.1.15,15,
71,-,-,Sala multiple,192.168.8.254,3/0/2,,,on/off,1.1.16,16,
72,-,-,Sala multiple,192.168.8.254,3/0/2,,,on/off,1.1.16,16,
73,-,-,Sala multiple,192.168.8.254,4/2/0,,,on/off,1.1.17,panelRecepcion,
74,-,-,Sala multiple,192.168.8.254,4/2/1,,,on/off,1.1.17,panelRecepcion,
75,-,-,Sala multiple,192.168.8.254,4/2/2,,,on/off,1.1.17,panelRecepcion,
